CMDLINE python3 adjoint.py
MEM 551.593750 1738751456.7319
MEM 552.250000 1738751456.8371
MEM 552.875000 1738751456.9422
MEM 552.812500 1738751457.0473
MEM 552.828125 1738751457.1525
MEM 552.703125 1738751457.2531
MEM 552.843750 1738751457.3540
MEM 552.625000 1738751457.4592
MEM 552.703125 1738751457.5643
MEM 553.484375 1738751457.6695
MEM 553.734375 1738751457.7746
MEM 553.859375 1738751457.8798
MEM 553.765625 1738751457.9850
MEM 553.640625 1738751458.0901
MEM 553.625000 1738751458.1952
MEM 553.515625 1738751458.3003
MEM 553.578125 1738751458.4055
MEM 553.578125 1738751458.5106
MEM 553.578125 1738751458.6158
MEM 553.546875 1738751458.7180
MEM 553.546875 1738751458.8232
MEM 557.296875 1738751458.9266
MEM 557.531250 1738751459.0275
MEM 557.640625 1738751459.1327
MEM 557.609375 1738751459.2357
MEM 557.609375 1738751459.3409
MEM 557.578125 1738751459.4460
MEM 557.578125 1738751459.5511
MEM 557.484375 1738751459.6562
MEM 557.484375 1738751459.7587
MEM 557.296875 1738751459.8638
MEM 557.265625 1738751459.9691
MEM 557.265625 1738751460.0743
MEM 557.265625 1738751460.1794
MEM 561.296875 1738751460.2846
MEM 561.531250 1738751460.3857
MEM 561.562500 1738751460.4909
MEM 561.593750 1738751460.5961
MEM 561.593750 1738751460.7013
MEM 561.562500 1738751460.8020
MEM 561.562500 1738751460.9071
MEM 561.531250 1738751461.0075
MEM 561.531250 1738751461.1127
MEM 561.531250 1738751461.2178
MEM 561.531250 1738751461.3229
MEM 561.531250 1738751461.4280
MEM 561.531250 1738751461.5332
MEM 561.984375 1738751461.6383
MEM 562.062500 1738751461.7434
MEM 562.375000 1738751461.8484
MEM 562.578125 1738751461.9536
MEM 564.968750 1738751462.0587
MEM 565.296875 1738751462.1639
MEM 565.890625 1738751462.2689
MEM 566.015625 1738751462.3741
MEM 566.421875 1738751462.4792
MEM 566.984375 1738751462.5843
MEM 567.906250 1738751462.6894
MEM 568.031250 1738751462.7945
MEM 568.500000 1738751462.8996
MEM 569.203125 1738751463.0048
MEM 569.296875 1738751463.1100
MEM 569.921875 1738751463.2116
MEM 570.156250 1738751463.3167
MEM 570.250000 1738751463.4218
MEM 570.390625 1738751463.5270
MEM 571.328125 1738751463.6321
MEM 571.750000 1738751463.7372
MEM 571.828125 1738751463.8423
MEM 572.140625 1738751463.9475
MEM 572.609375 1738751464.0526
MEM 573.734375 1738751464.1578
MEM 574.093750 1738751464.2603
MEM 574.203125 1738751464.3655
MEM 574.546875 1738751464.4706
MEM 574.953125 1738751464.5758
MEM 577.671875 1738751464.6771
MEM 578.796875 1738751464.7822
MEM 579.484375 1738751464.8873
MEM 579.546875 1738751464.9900
MEM 579.734375 1738751465.0952
MEM 579.765625 1738751465.2004
MEM 579.765625 1738751465.3055
MEM 579.765625 1738751465.4072
MEM 579.656250 1738751465.5121
MEM 579.437500 1738751465.6172
MEM 579.437500 1738751465.7224
MEM 579.406250 1738751465.8272
MEM 579.406250 1738751465.9281
MEM 579.531250 1738751466.0302
MEM 580.421875 1738751466.1353
MEM 580.359375 1738751466.2404
MEM 580.312500 1738751466.3456
MEM 580.281250 1738751466.4508
MEM 580.281250 1738751466.5536
MEM 580.062500 1738751466.6587
MEM 579.968750 1738751466.7639
MEM 579.968750 1738751466.8690
MEM 579.937500 1738751466.9742
MEM 579.843750 1738751467.0784
MEM 579.625000 1738751467.1835
MEM 579.625000 1738751467.2887
MEM 579.593750 1738751467.3937
MEM 579.593750 1738751467.4989
MEM 579.593750 1738751467.6040
MEM 579.500000 1738751467.7092
MEM 579.312500 1738751467.8144
MEM 579.281250 1738751467.9195
MEM 579.281250 1738751468.0247
MEM 579.250000 1738751468.1299
