CMDLINE python3 adjoint.py
MEM 439.921875 1738750415.0407
MEM 439.953125 1738750415.1459
MEM 439.953125 1738750415.2511
MEM 439.953125 1738750415.3562
MEM 442.656250 1738750415.4573
MEM 444.890625 1738750415.5625
MEM 444.890625 1738750415.6677
MEM 444.890625 1738750415.7728
MEM 444.890625 1738750415.8780
MEM 444.890625 1738750415.9832
MEM 444.890625 1738750416.0883
MEM 446.031250 1738750416.1886
MEM 446.031250 1738750416.2920
MEM 446.031250 1738750416.3972
MEM 446.062500 1738750416.5023
MEM 446.062500 1738750416.6074
MEM 446.062500 1738750416.7126
MEM 449.812500 1738750416.8165
MEM 449.812500 1738750416.9217
MEM 449.828125 1738750417.0268
MEM 449.937500 1738750417.1320
MEM 449.937500 1738750417.2371
MEM 449.937500 1738750417.3408
MEM 449.937500 1738750417.4458
MEM 450.187500 1738750417.5510
MEM 450.187500 1738750417.6562
MEM 450.265625 1738750417.7613
MEM 450.265625 1738750417.8665
MEM 450.265625 1738750417.9716
MEM 450.265625 1738750418.0768
MEM 450.265625 1738750418.1788
MEM 450.312500 1738750418.2840
MEM 450.312500 1738750418.3892
MEM 450.312500 1738750418.4942
MEM 450.312500 1738750418.5994
MEM 450.312500 1738750418.7045
MEM 450.312500 1738750418.8075
MEM 450.328125 1738750418.9126
MEM 450.328125 1738750419.0178
MEM 450.328125 1738750419.1230
MEM 450.328125 1738750419.2281
MEM 450.328125 1738750419.3333
MEM 450.328125 1738750419.4384
MEM 450.343750 1738750419.5411
MEM 450.359375 1738750419.6425
MEM 450.390625 1738750419.7467
MEM 450.437500 1738750419.8519
MEM 450.437500 1738750419.9570
MEM 450.437500 1738750420.0622
MEM 450.500000 1738750420.1673
MEM 450.500000 1738750420.2725
MEM 450.500000 1738750420.3764
MEM 450.500000 1738750420.4816
MEM 450.500000 1738750420.5868
MEM 450.500000 1738750420.6909
MEM 450.625000 1738750420.7961
MEM 450.625000 1738750420.9013
MEM 450.640625 1738750421.0064
MEM 450.640625 1738750421.1115
MEM 450.640625 1738750421.2167
MEM 450.640625 1738750421.3217
MEM 450.640625 1738750421.4269
MEM 450.640625 1738750421.5321
MEM 450.640625 1738750421.6372
MEM 450.640625 1738750421.7424
MEM 450.640625 1738750421.8475
MEM 450.640625 1738750421.9527
MEM 450.953125 1738750422.0577
MEM 450.953125 1738750422.1629
MEM 450.953125 1738750422.2681
MEM 450.953125 1738750422.3732
MEM 450.953125 1738750422.4784
MEM 450.953125 1738750422.5802
MEM 450.953125 1738750422.6853
MEM 450.953125 1738750422.7858
MEM 450.953125 1738750422.8910
MEM 450.953125 1738750422.9961
MEM 450.953125 1738750423.1013
MEM 450.953125 1738750423.2065
MEM 450.953125 1738750423.3080
MEM 450.968750 1738750423.4132
MEM 450.968750 1738750423.5184
MEM 450.968750 1738750423.6236
MEM 451.000000 1738750423.7244
MEM 451.000000 1738750423.8295
MEM 451.000000 1738750423.9347
MEM 451.000000 1738750424.0398
MEM 451.000000 1738750424.1450
MEM 451.000000 1738750424.2502
MEM 451.000000 1738750424.3553
MEM 451.000000 1738750424.4605
MEM 451.000000 1738750424.5656
MEM 451.000000 1738750424.6708
MEM 451.000000 1738750424.7760
MEM 451.000000 1738750424.8779
MEM 451.000000 1738750424.9831
MEM 451.015625 1738750425.0883
MEM 451.015625 1738750425.1934
MEM 451.015625 1738750425.2986
MEM 451.093750 1738750425.4036
MEM 451.093750 1738750425.5088
MEM 451.093750 1738750425.6139
MEM 451.093750 1738750425.7191
MEM 451.093750 1738750425.8243
MEM 451.093750 1738750425.9294
MEM 456.140625 1738750426.0346
MEM 456.140625 1738750426.1397
MEM 456.140625 1738750426.2412
MEM 456.171875 1738750426.3427
MEM 456.171875 1738750426.4478
MEM 456.171875 1738750426.5530
MEM 456.171875 1738750426.6580
MEM 456.218750 1738750426.7632
MEM 456.218750 1738750426.8683
MEM 456.281250 1738750426.9735
MEM 456.281250 1738750427.0778
MEM 456.281250 1738750427.1830
MEM 456.281250 1738750427.2880
MEM 456.281250 1738750427.3928
MEM 456.281250 1738750427.4979
MEM 456.281250 1738750427.6031
MEM 456.281250 1738750427.7082
MEM 456.281250 1738750427.8134
MEM 456.281250 1738750427.9185
MEM 456.281250 1738750428.0237
MEM 456.328125 1738750428.1246
MEM 456.328125 1738750428.2298
MEM 456.343750 1738750428.3349
MEM 456.343750 1738750428.4401
MEM 456.343750 1738750428.5453
MEM 458.781250 1738750428.6504
MEM 458.781250 1738750428.7556
MEM 458.781250 1738750428.8601
MEM 458.781250 1738750428.9652
MEM 458.781250 1738750429.0704
MEM 458.781250 1738750429.1755
MEM 458.796875 1738750429.2806
MEM 458.796875 1738750429.3858
MEM 458.796875 1738750429.4909
MEM 458.796875 1738750429.5960
MEM 458.796875 1738750429.7011
MEM 458.796875 1738750429.8063
MEM 458.796875 1738750429.9080
MEM 458.796875 1738750430.0132
MEM 458.796875 1738750430.1160
MEM 458.796875 1738750430.2211
MEM 458.796875 1738750430.3263
MEM 458.796875 1738750430.4315
MEM 458.937500 1738750430.5355
MEM 458.937500 1738750430.6407
MEM 458.937500 1738750430.7459
MEM 458.937500 1738750430.8510
MEM 458.937500 1738750430.9539
MEM 458.937500 1738750431.0591
MEM 459.000000 1738750431.1643
MEM 459.000000 1738750431.2695
MEM 459.000000 1738750431.3746
MEM 459.000000 1738750431.4759
MEM 459.000000 1738750431.5811
MEM 459.000000 1738750431.6862
MEM 459.000000 1738750431.7914
MEM 459.000000 1738750431.8950
MEM 459.000000 1738750432.0002
MEM 459.000000 1738750432.1053
MEM 459.000000 1738750432.2081
MEM 459.000000 1738750432.3133
MEM 459.000000 1738750432.4184
MEM 459.000000 1738750432.5236
MEM 459.000000 1738750432.6248
MEM 459.000000 1738750432.7300
MEM 459.015625 1738750432.8351
MEM 459.015625 1738750432.9403
MEM 459.015625 1738750433.0455
MEM 459.015625 1738750433.1506
MEM 459.031250 1738750433.2558
MEM 459.031250 1738750433.3581
MEM 459.078125 1738750433.4633
MEM 459.078125 1738750433.5683
MEM 459.078125 1738750433.6735
MEM 459.078125 1738750433.7785
MEM 459.093750 1738750433.8837
MEM 459.093750 1738750433.9889
MEM 459.093750 1738750434.0940
MEM 459.093750 1738750434.1992
MEM 459.093750 1738750434.3043
MEM 459.093750 1738750434.4081
MEM 459.109375 1738750434.5133
MEM 459.109375 1738750434.6185
MEM 459.109375 1738750434.7237
MEM 459.109375 1738750434.8249
MEM 459.109375 1738750434.9300
MEM 459.109375 1738750435.0341
MEM 459.140625 1738750435.1393
MEM 459.140625 1738750435.2416
MEM 459.140625 1738750435.3434
MEM 459.140625 1738750435.4485
MEM 459.140625 1738750435.5537
MEM 459.140625 1738750435.6588
MEM 459.140625 1738750435.7640
MEM 459.140625 1738750435.8692
MEM 459.140625 1738750435.9744
MEM 459.140625 1738750436.0794
MEM 459.140625 1738750436.1846
MEM 459.140625 1738750436.2897
MEM 459.140625 1738750436.3949
MEM 459.140625 1738750436.5000
MEM 459.171875 1738750436.6051
MEM 459.171875 1738750436.7097
MEM 459.171875 1738750436.8150
MEM 459.171875 1738750436.9201
MEM 459.171875 1738750437.0250
MEM 459.171875 1738750437.1302
MEM 459.171875 1738750437.2353
MEM 459.187500 1738750437.3405
MEM 459.187500 1738750437.4456
MEM 459.187500 1738750437.5507
MEM 459.234375 1738750437.6559
MEM 459.234375 1738750437.7584
MEM 459.281250 1738750437.8635
MEM 459.281250 1738750437.9686
MEM 459.281250 1738750438.0738
MEM 459.281250 1738750438.1790
MEM 459.312500 1738750438.2841
MEM 459.312500 1738750438.3854
MEM 459.312500 1738750438.4906
MEM 459.359375 1738750438.5957
MEM 459.359375 1738750438.7009
MEM 459.359375 1738750438.8060
MEM 459.359375 1738750438.9112
MEM 459.359375 1738750439.0164
MEM 459.359375 1738750439.1215
MEM 459.359375 1738750439.2265
MEM 459.359375 1738750439.3317
MEM 459.359375 1738750439.4369
MEM 459.359375 1738750439.5421
MEM 459.359375 1738750439.6473
MEM 459.359375 1738750439.7525
MEM 459.359375 1738750439.8576
MEM 459.359375 1738750439.9584
MEM 459.359375 1738750440.0636
MEM 459.390625 1738750440.1686
MEM 459.390625 1738750440.2738
MEM 459.390625 1738750440.3752
MEM 459.390625 1738750440.4803
MEM 459.390625 1738750440.5855
MEM 459.390625 1738750440.6906
MEM 459.390625 1738750440.7918
MEM 459.390625 1738750440.8933
MEM 459.390625 1738750440.9984
MEM 459.390625 1738750441.1036
MEM 459.390625 1738750441.2085
MEM 459.390625 1738750441.3117
MEM 459.390625 1738750441.4169
MEM 459.421875 1738750441.5220
MEM 459.421875 1738750441.6252
MEM 459.421875 1738750441.7303
MEM 459.421875 1738750441.8355
MEM 459.421875 1738750441.9406
MEM 459.421875 1738750442.0419
MEM 459.421875 1738750442.1466
MEM 459.437500 1738750442.2518
MEM 459.437500 1738750442.3569
MEM 459.437500 1738750442.4576
MEM 459.437500 1738750442.5627
MEM 459.437500 1738750442.6679
MEM 459.437500 1738750442.7731
MEM 459.437500 1738750442.8783
MEM 459.437500 1738750442.9835
MEM 459.437500 1738750443.0886
MEM 459.437500 1738750443.1938
MEM 459.437500 1738750443.2945
MEM 459.437500 1738750443.3983
MEM 459.437500 1738750443.5035
MEM 459.437500 1738750443.6047
MEM 459.437500 1738750443.7099
MEM 459.437500 1738750443.8150
MEM 459.437500 1738750443.9202
MEM 459.437500 1738750444.0252
MEM 459.437500 1738750444.1303
MEM 459.437500 1738750444.2355
MEM 459.437500 1738750444.3384
MEM 459.500000 1738750444.4436
MEM 459.500000 1738750444.5487
MEM 459.500000 1738750444.6539
MEM 459.515625 1738750444.7586
MEM 459.640625 1738750444.8603
MEM 459.640625 1738750444.9654
MEM 459.703125 1738750445.0705
MEM 459.718750 1738750445.1753
MEM 459.750000 1738750445.2768
MEM 459.765625 1738750445.3776
MEM 459.765625 1738750445.4826
MEM 459.828125 1738750445.5876
MEM 459.875000 1738750445.6927
MEM 459.890625 1738750445.7940
MEM 459.906250 1738750445.8991
MEM 459.921875 1738750446.0041
MEM 459.937500 1738750446.1073
MEM 459.953125 1738750446.2105
MEM 459.984375 1738750446.3155
MEM 459.984375 1738750446.4207
MEM 460.000000 1738750446.5257
MEM 460.093750 1738750446.6309
MEM 460.156250 1738750446.7360
MEM 460.156250 1738750446.8363
MEM 460.187500 1738750446.9415
MEM 460.187500 1738750447.0434
MEM 460.250000 1738750447.1485
MEM 460.406250 1738750447.2536
MEM 460.515625 1738750447.3586
MEM 460.625000 1738750447.4637
MEM 460.703125 1738750447.5687
MEM 460.734375 1738750447.6737
MEM 460.734375 1738750447.7788
MEM 460.718750 1738750447.8838
MEM 460.718750 1738750447.9889
MEM 460.640625 1738750448.0941
MEM 460.812500 1738750448.1992
MEM 460.812500 1738750448.3042
MEM 460.812500 1738750448.4088
MEM 460.875000 1738750448.5111
MEM 460.843750 1738750448.6161
MEM 460.859375 1738750448.7211
MEM 460.890625 1738750448.8254
MEM 461.109375 1738750448.9305
MEM 461.140625 1738750449.0355
MEM 461.234375 1738750449.1405
