CMDLINE /Users/sghelichkhani/Workplace/firedrake-2025-01-23/bin/python3 adjoint.py
MEM 553.765625 1739142551.5672
MEM 554.015625 1739142551.6723
MEM 554.250000 1739142551.7737
MEM 554.843750 1739142551.8788
MEM 555.312500 1739142551.9839
MEM 555.515625 1739142552.0890
MEM 555.906250 1739142552.1941
MEM 556.437500 1739142552.2992
MEM 556.781250 1739142552.4044
MEM 556.890625 1739142552.5095
MEM 557.296875 1739142552.6145
MEM 557.531250 1739142552.7197
MEM 558.234375 1739142552.8249
MEM 560.640625 1739142552.9300
MEM 561.109375 1739142553.0351
MEM 561.687500 1739142553.1402
MEM 561.843750 1739142553.2453
MEM 562.250000 1739142553.3503
MEM 562.515625 1739142553.4538
MEM 562.546875 1739142553.5584
MEM 562.562500 1739142553.6635
MEM 562.406250 1739142553.7687
MEM 563.484375 1739142553.8738
MEM 564.515625 1739142553.9789
MEM 564.984375 1739142554.0840
MEM 565.296875 1739142554.1890
MEM 565.296875 1739142554.2941
MEM 565.203125 1739142554.3992
MEM 565.359375 1739142554.5044
MEM 565.500000 1739142554.6095
MEM 565.812500 1739142554.7100
MEM 566.015625 1739142554.8151
MEM 566.421875 1739142554.9202
MEM 567.000000 1739142555.0253
MEM 567.156250 1739142555.1304
MEM 567.500000 1739142555.2355
MEM 567.453125 1739142555.3406
MEM 568.687500 1739142555.4457
MEM 569.593750 1739142555.5509
MEM 570.296875 1739142555.6559
MEM 570.437500 1739142555.7610
MEM 570.656250 1739142555.8661
MEM 571.093750 1739142555.9693
MEM 571.109375 1739142556.0745
MEM 571.250000 1739142556.1796
MEM 571.562500 1739142556.2848
MEM 572.218750 1739142556.3883
MEM 572.140625 1739142556.4934
MEM 572.703125 1739142556.5985
MEM 573.046875 1739142556.7036
MEM 574.734375 1739142556.8087
MEM 576.156250 1739142556.9138
MEM 576.640625 1739142557.0190
MEM 576.812500 1739142557.1241
MEM 577.093750 1739142557.2292
MEM 577.375000 1739142557.3343
MEM 579.265625 1739142557.4349
MEM 579.265625 1739142557.5360
MEM 580.406250 1739142557.6411
MEM 580.921875 1739142557.7462
MEM 581.437500 1739142557.8492
MEM 581.437500 1739142557.9544
MEM 581.890625 1739142558.0559
MEM 582.500000 1739142558.1579
MEM 582.703125 1739142558.2623
MEM 583.000000 1739142558.3674
MEM 583.593750 1739142558.4721
MEM 584.500000 1739142558.5773
MEM 584.890625 1739142558.6823
MEM 585.156250 1739142558.7874
MEM 585.234375 1739142558.8925
MEM 587.781250 1739142558.9976
MEM 588.765625 1739142559.1028
MEM 589.328125 1739142559.2079
MEM 589.250000 1739142559.3130
MEM 589.578125 1739142559.4158
MEM 590.359375 1739142559.5183
MEM 590.359375 1739142559.6218
MEM 590.468750 1739142559.7269
MEM 590.593750 1739142559.8320
MEM 591.000000 1739142559.9372
MEM 591.078125 1739142560.0423
MEM 591.437500 1739142560.1474
MEM 591.828125 1739142560.2525
MEM 592.156250 1739142560.3558
MEM 592.375000 1739142560.4609
MEM 592.890625 1739142560.5617
MEM 593.156250 1739142560.6668
MEM 593.000000 1739142560.7719
MEM 593.062500 1739142560.8770
MEM 594.093750 1739142560.9822
MEM 594.328125 1739142561.0842
MEM 595.125000 1739142561.1861
MEM 597.343750 1739142561.2912
MEM 598.046875 1739142561.3964
MEM 598.359375 1739142561.5015
MEM 598.562500 1739142561.6066
MEM 598.859375 1739142561.7097
MEM 599.093750 1739142561.8128
MEM 599.000000 1739142561.9170
MEM 599.703125 1739142562.0221
MEM 600.046875 1739142562.1273
MEM 600.265625 1739142562.2323
MEM 600.234375 1739142562.3375
MEM 600.109375 1739142562.4428
MEM 599.890625 1739142562.5479
MEM 599.890625 1739142562.6531
MEM 599.890625 1739142562.7583
MEM 599.781250 1739142562.8623
MEM 599.656250 1739142562.9674
MEM 599.968750 1739142563.0726
MEM 599.875000 1739142563.1778
MEM 599.875000 1739142563.2794
MEM 599.890625 1739142563.3846
MEM 599.828125 1739142563.4896
MEM 599.828125 1739142563.5947
MEM 599.828125 1739142563.6999
MEM 599.828125 1739142563.8051
MEM 599.828125 1739142563.9103
MEM 599.796875 1739142564.0155
MEM 599.765625 1739142564.1203
MEM 600.078125 1739142564.2254
MEM 600.062500 1739142564.3306
MEM 600.093750 1739142564.4357
MEM 600.093750 1739142564.5409
MEM 600.062500 1739142564.6460
MEM 599.968750 1739142564.7470
MEM 599.968750 1739142564.8521
MEM 600.140625 1739142564.9553
MEM 599.953125 1739142565.0604
MEM 599.953125 1739142565.1611
MEM 599.921875 1739142565.2663
MEM 599.921875 1739142565.3676
MEM 599.937500 1739142565.4723
MEM 599.953125 1739142565.5774
MEM 600.109375 1739142565.6825
MEM 600.140625 1739142565.7876
MEM 600.171875 1739142565.8928
MEM 600.187500 1739142565.9979
MEM 600.156250 1739142566.1031
MEM 600.140625 1739142566.2082
MEM 600.140625 1739142566.3134
MEM 600.140625 1739142566.4173
MEM 600.140625 1739142566.5214
MEM 600.140625 1739142566.6266
MEM 600.156250 1739142566.7317
MEM 600.328125 1739142566.8368
MEM 600.656250 1739142566.9419
MEM 600.687500 1739142567.0471
MEM 600.718750 1739142567.1522
MEM 600.750000 1739142567.2574
MEM 600.718750 1739142567.3624
MEM 600.890625 1739142567.4676
MEM 600.859375 1739142567.5727
MEM 600.859375 1739142567.6779
MEM 600.859375 1739142567.7831
MEM 600.859375 1739142567.8882
MEM 600.859375 1739142567.9933
MEM 600.890625 1739142568.0984
MEM 601.156250 1739142568.2035
MEM 601.187500 1739142568.3087
MEM 601.218750 1739142568.4138
MEM 601.218750 1739142568.5189
MEM 601.218750 1739142568.6241
MEM 601.203125 1739142568.7292
MEM 601.171875 1739142568.8343
MEM 601.171875 1739142568.9395
MEM 601.171875 1739142569.0446
MEM 601.171875 1739142569.1497
MEM 601.171875 1739142569.2549
MEM 601.203125 1739142569.3600
MEM 601.468750 1739142569.4651
MEM 601.468750 1739142569.5702
MEM 601.500000 1739142569.6753
MEM 601.515625 1739142569.7805
MEM 601.515625 1739142569.8855
MEM 601.515625 1739142569.9906
MEM 601.484375 1739142570.0958
MEM 601.453125 1739142570.2009
MEM 601.453125 1739142570.3061
MEM 601.453125 1739142570.4112
